,tweet_text,sentiment,tweet_text_tokens
0,:Hello Japan is a nuclear power plant crisis. {link},0,"['hello', 'japan', 'nuclear', 'power', 'plant', 'crisis']"
1,. Renewable Energy Consumption Tops Nuclear for FirstTime {link} is nuclear energy renewable,2,"['renewable', 'energy', 'consumption', 'tops', 'nuclear', 'firsttime', 'nuclear', 'energy', 'renewable']"
2,. Will liberals now seek to eliminate dangerous nuclear power plants? {link} green energy news,2,"['liberals', 'seek', 'eliminate', 'dangerous', 'nuclear', 'power', 'plants', 'green', 'energy', 'news']"
3,"(Aug 22,2011)Plant Status of Fukushima Daiichi Nuclear Power Station (as of 3:00 pm, Aug. 22) {link} #tepco #japan",2,"['aug', 'plant', 'status', 'fukushima', 'daiichi', 'nuclear', 'power', 'station', 'pm', 'aug', 'tepco', 'japan']"
4,[ebook] Nuclear Energy and the Environment: Oxf ord Un iversity Pr ess | 2011 | ISBN: 0841225850 | 432 pages | P... {link},2,"['nuclear', 'energy', 'environment', 'oxf', 'ord', 'un', 'iversity', 'pr', 'ess', 'isbn', 'pages', 'p']"
5,"[GJOBS] Nuclear Power Safety Campaign Organizer - Temporary / Union of Concerned Scientists / Cambridge, MA {link}",2,"['nuclear', 'power', 'safety', 'campaign', 'organizer', 'temporary', 'union', 'concerned', 'scientists', 'cambridge']"
6,[news] Nuclear Power Plant: Radioactive Tritium Contamination in Vermont {link} #nwo,2,"['nuclear', 'power', 'plant', 'radioactive', 'tritium', 'contamination', 'vermont', 'nwo']"
7,[science] Nuclear Energy and the Environment: Oxf ord Un iversity Pr ess | 2011 | ISBN: 0841225850 | 432 pages |... {link},2,"['nuclear', 'energy', 'environment', 'oxf', 'ord', 'un', 'iversity', 'pr', 'ess', 'isbn', 'pages']"
8,{link} :P How many windmills would you need to produce as much power as one average nuclear power station? windmills,2,"['p', 'many', 'windmills', 'would', 'need', 'produce', 'much', 'power', 'one', 'average', 'nuclear', 'power', 'station', 'windmills']"
9,"{link} &quot;The right thing to do&quot; I'm for nuclear energy, when done correctly. But this plant was built to a 1970's standard.",1,"['im', 'nuclear', 'energy', 'done', 'correctly', 'plant', 'built', 'standard']"
